domain_ID,domain_name,cookies_default,cookies_dont,cookies_ninja,cookies_accepted,clicked,location,first_parties
472,upsconline.nic.in,0,1,1,1,False,"['IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN']","[False, False, False, False, False, False, False, False, False, False]"
475,expressvpn.com,1,1,1,1,False,[],[]
476,target.com,1,1,1,1,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
478,mileroticos.com,0,0,0,0,False,"['NL', 'NL', 'NL', 'NL', 'NL', 'NL', 'NL', 'NL', 'NL', 'NL']","[False, False, False, False, False, False, False, False, False, False]"
480,alwafd.news,4,4,5,4,True,[],[]
482,onet.pl,3,4,3,3,False,[],[]
486,zippyshare.com,0,0,0,0,False,['FR'],[False]
487,zerodha.com,0,0,0,0,False,"['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
488,ebay.com.au,3,1,2,6,True,[],[]
490,wish.com,9,7,8,11,True,[],[]
493,gsmarena.com,0,0,0,2,True,"['DE', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
499,bershka.tmall.com,1,1,1,1,False,[],[]
